benchmark,scaling_param_name,scaling_param_value,num_blocks,threads_per_block,num_accesses,metric_name,metric_mean,kernel_ms_mean,n_reps
fp32_throughput,fmas_per_thread,524288,4096,64,,GFLOPS,42884.6786,6.410352,7
fp32_throughput,fmas_per_thread,1048576,4096,64,,GFLOPS,45505.1743,12.081301,7
fp32_throughput,fmas_per_thread,256,4096,256,,GFLOPS,1101.02,0.490224,7
fp32_throughput,fmas_per_thread,512,4096,256,,GFLOPS,1936.2957,0.559699,7
fp32_throughput,fmas_per_thread,1024,4096,256,,GFLOPS,4415.0229,0.486918,7
fp32_throughput,fmas_per_thread,2048,4096,256,,GFLOPS,7309.2286,0.712905,7
fp32_throughput,fmas_per_thread,4096,4096,256,,GFLOPS,14252.7257,0.604461,7
fp32_throughput,fmas_per_thread,8192,4096,256,,GFLOPS,25884.0486,0.668193,7
fp32_throughput,fmas_per_thread,16384,4096,256,,GFLOPS,38887.7843,0.886406,7
fp32_throughput,fmas_per_thread,32768,4096,256,,GFLOPS,58351.8371,1.179253,7
fp32_throughput,fmas_per_thread,65536,4096,256,,GFLOPS,44539.36,3.253873,7
fp32_throughput,fmas_per_thread,131072,4096,256,,GFLOPS,40344.6357,12.589741,7
fp32_throughput,fmas_per_thread,262144,4096,256,,GFLOPS,76989.6843,7.142155,7
fp32_throughput,fmas_per_thread,524288,4096,256,,GFLOPS,80902.3014,13.591918,7
fp32_throughput,fmas_per_thread,1048576,4096,256,,GFLOPS,84119.7486,26.143813,7
fp32_throughput,fmas_per_thread,256,4096,1024,,GFLOPS,4048.5271,0.534368,7
fp32_throughput,fmas_per_thread,512,4096,1024,,GFLOPS,7221.2814,0.599776,7
fp32_throughput,fmas_per_thread,1024,4096,1024,,GFLOPS,13301.0629,0.654339,7
fp32_throughput,fmas_per_thread,2048,4096,1024,,GFLOPS,27143.2357,0.634422,7
fp32_throughput,fmas_per_thread,4096,4096,1024,,GFLOPS,41636.3814,0.828523,7
fp32_throughput,fmas_per_thread,8192,4096,1024,,GFLOPS,60983.3943,1.126989,7
fp32_throughput,fmas_per_thread,16384,4096,1024,,GFLOPS,74921.6086,1.837184,7
fp32_throughput,fmas_per_thread,32768,4096,1024,,GFLOPS,81632.4357,3.368964,7
fp32_throughput,fmas_per_thread,65536,4096,1024,,GFLOPS,63771.7986,8.649698,7
fp32_throughput,fmas_per_thread,131072,4096,1024,,GFLOPS,43491.3,27.642354,7
fp32_throughput,fmas_per_thread,262144,4096,1024,,GFLOPS,88172.94,24.940049,7
fp32_throughput,fmas_per_thread,524288,4096,1024,,GFLOPS,90384.7586,48.659382,7
fp32_throughput,fmas_per_thread,1048576,4096,1024,,GFLOPS,91251.7143,96.393866,7
fp32_throughput,fmas_per_thread,256,32768,1,,GFLOPS,32.8057,0.516857,7
fp32_throughput,fmas_per_thread,512,32768,1,,GFLOPS,62.0586,0.542964,7
fp32_throughput,fmas_per_thread,1024,32768,1,,GFLOPS,112.7914,0.602686,7
fp32_throughput,fmas_per_thread,2048,32768,1,,GFLOPS,243.2857,0.55427,7
fp32_throughput,fmas_per_thread,4096,32768,1,,GFLOPS,363.9657,0.742887,7
fp32_throughput,fmas_per_thread,8192,32768,1,,GFLOPS,676.09,0.797117,7
fp32_throughput,fmas_per_thread,16384,32768,1,,GFLOPS,968.2814,1.110197,7
fp32_throughput,fmas_per_thread,32768,32768,1,,GFLOPS,1142.17,1.934002,7
fp32_throughput,fmas_per_thread,65536,32768,1,,GFLOPS,1439.87,2.984698,7
fp32_throughput,fmas_per_thread,131072,32768,1,,GFLOPS,1045.1843,11.421629,7
fp32_throughput,fmas_per_thread,262144,32768,1,,GFLOPS,1624.43,10.576569,7
fp32_throughput,fmas_per_thread,524288,32768,1,,GFLOPS,1668.3071,20.595696,7
fp32_throughput,fmas_per_thread,1048576,32768,1,,GFLOPS,1689.05,40.685361,7
fp32_throughput,fmas_per_thread,256,32768,32,,GFLOPS,1081.8429,0.500816,7
fp32_throughput,fmas_per_thread,512,32768,32,,GFLOPS,1909.4971,0.566729,7
fp32_throughput,fmas_per_thread,1024,32768,32,,GFLOPS,3794.2057,0.570847,7
fp32_throughput,fmas_per_thread,2048,32768,32,,GFLOPS,7862.3457,0.547022,7
fp32_throughput,fmas_per_thread,4096,32768,32,,GFLOPS,12886.4114,0.670552,7
fp32_throughput,fmas_per_thread,8192,32768,32,,GFLOPS,22140.9,0.776169,7
fp32_throughput,fmas_per_thread,16384,32768,32,,GFLOPS,30076.9229,1.145737,7
fp32_throughput,fmas_per_thread,32768,32768,32,,GFLOPS,38119.4029,1.803853,7
fp32_throughput,fmas_per_thread,65536,32768,32,,GFLOPS,42258.1629,3.253013,7
fp32_throughput,fmas_per_thread,131072,32768,32,,GFLOPS,24344.1943,16.587418,7
fp32_throughput,fmas_per_thread,262144,32768,32,,GFLOPS,46000.1,11.95279,7
fp32_throughput,fmas_per_thread,524288,32768,32,,GFLOPS,48342.11,22.744782,7
fp32_throughput,fmas_per_thread,1048576,32768,32,,GFLOPS,49763.89,44.189209,7
fp32_throughput,fmas_per_thread,256,32768,64,,GFLOPS,2171.9586,0.496965,7
fp32_throughput,fmas_per_thread,512,32768,64,,GFLOPS,3893.86,0.555498,7
fp32_throughput,fmas_per_thread,1024,32768,64,,GFLOPS,6874.9829,0.627562,7
fp32_throughput,fmas_per_thread,2048,32768,64,,GFLOPS,14955.0943,0.580421,7
fp32_throughput,fmas_per_thread,4096,32768,64,,GFLOPS,26858.8086,0.64048,7
fp32_throughput,fmas_per_thread,8192,32768,64,,GFLOPS,41462.1157,0.831111,7
fp32_throughput,fmas_per_thread,16384,32768,64,,GFLOPS,60285.1,1.140228,7
fp32_throughput,fmas_per_thread,32768,32768,64,,GFLOPS,73470.8757,1.87146,7
fp32_throughput,fmas_per_thread,65536,32768,64,,GFLOPS,77377.0829,3.554501,7
fp32_throughput,fmas_per_thread,131072,32768,64,,GFLOPS,57378.5043,12.970632,7
fp32_throughput,fmas_per_thread,262144,32768,64,,GFLOPS,83436.7971,13.177907,7
fp32_throughput,fmas_per_thread,524288,32768,64,,GFLOPS,86679.83,25.370161,7
fp32_throughput,fmas_per_thread,1048576,32768,64,,GFLOPS,88994.9671,49.419124,7
fp32_throughput,fmas_per_thread,256,32768,256,,GFLOPS,8231.6629,0.52708,7
fp32_throughput,fmas_per_thread,512,32768,256,,GFLOPS,14119.1529,0.613397,7
fp32_throughput,fmas_per_thread,1024,32768,256,,GFLOPS,24790.8414,0.696429,7
fp32_throughput,fmas_per_thread,2048,32768,256,,GFLOPS,42844.59,0.802966,7
fp32_throughput,fmas_per_thread,4096,32768,256,,GFLOPS,60553.6771,1.137843,7
