suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,4096,0.070213
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,5120,0.088040
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,6144,0.103395
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,7168,0.121409
altis,altis_raytracing,"height=2048, spheres=8",height-2048_spheres-8,width,8192,0.136457
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,4096,4.252205
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,8192,4.257787
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,16384,4.262149
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,32768,10.915204
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,49152,11.311056
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,65536,11.290122
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,131072,10.933500
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,262144,11.310029
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,524288,11.331776
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,1048576,10.894747
microbench,cache_latency,"cacheline_bytes=64, measure_laps=4, rng_seed=42",cacheline_bytes-64_measure_laps-4_rng_seed-42,array_bytes,2097152,11.330874
