run_id,suite,benchmark,platform,problem_size,kernel_name,iterations,avg_ms,min_ms,max_ms,stddev_ms
20260317-075319-odyssey,polybench,mvt,hip,896,mvt,10,0.3373,0.3272,0.3459,0.0063
20260317-075319-odyssey,polybench,mvt,hip,1024,mvt,10,0.3809,0.3682,0.3862,0.0054
20260317-075319-odyssey,polybench,mvt,hip,1280,mvt,10,0.4858,0.4750,0.4921,0.0050
20260317-075319-odyssey,polybench,mvt,hip,1536,mvt,10,0.6814,0.6671,0.6927,0.0089
20260317-075319-odyssey,polybench,mvt,hip,1792,mvt,10,0.8660,0.8546,0.8785,0.0081
20260317-075319-odyssey,polybench,mvt,hip,2048,mvt,10,1.0395,1.0225,1.0521,0.0103
20260317-075319-odyssey,polybench,mvt,hip,2560,mvt,10,1.2939,1.2747,1.3136,0.0128
20260317-075319-odyssey,polybench,mvt,hip,3072,mvt,10,1.5626,1.5488,1.5736,0.0082
20260317-075319-odyssey,polybench,mvt,hip,3584,mvt,10,1.8185,1.8105,1.8335,0.0072
20260317-075319-odyssey,polybench,mvt,hip,4096,mvt,10,2.0968,2.0860,2.1094,0.0078
20260317-075319-odyssey,polybench,syr2k,hip,64,syr2k,10,0.0737,0.0731,0.0749,0.0006
20260317-075319-odyssey,polybench,syr2k,hip,128,syr2k,10,0.0733,0.0731,0.0740,0.0003
20260317-075319-odyssey,polybench,syr2k,hip,192,syr2k,10,0.0733,0.0732,0.0741,0.0003
20260317-075319-odyssey,polybench,syr2k,hip,256,syr2k,10,0.1513,0.1489,0.1541,0.0016
20260317-075319-odyssey,polybench,syr2k,hip,384,syr2k,10,0.2188,0.2171,0.2212,0.0013
20260317-075319-odyssey,polybench,syr2k,hip,512,syr2k,10,0.3630,0.3604,0.3682,0.0023
20260317-075319-odyssey,polybench,syr2k,hip,640,syr2k,10,0.3638,0.3616,0.3657,0.0012
20260317-075319-odyssey,polybench,syr2k,hip,768,syr2k,10,0.5478,0.5450,0.5509,0.0020
20260317-075319-odyssey,polybench,syr2k,hip,896,syr2k,10,0.6538,0.6483,0.6625,0.0055
20260317-075319-odyssey,polybench,syr2k,hip,1024,syr2k,10,0.7317,0.7297,0.7364,0.0020
20260317-075319-odyssey,polybench,syr2k,hip,1280,syr2k,10,1.1139,1.0958,1.1243,0.0122
20260317-075319-odyssey,polybench,syr2k,hip,1536,syr2k,10,1.6707,1.6646,1.6742,0.0031
20260317-075319-odyssey,polybench,syr2k,hip,1792,syr2k,10,2.1037,2.0996,2.1064,0.0023
20260317-075319-odyssey,polybench,syr2k,hip,2048,syr2k,10,2.7446,2.7374,2.7508,0.0045
20260317-075319-odyssey,polybench,syr2k,hip,2560,syr2k,10,4.2142,4.2050,4.2264,0.0070
20260317-075319-odyssey,polybench,syr2k,hip,3072,syr2k,10,6.2229,6.2140,6.2307,0.0045
20260317-075319-odyssey,polybench,syr2k,hip,3584,syr2k,10,8.1886,8.1832,8.1920,0.0031
20260317-075319-odyssey,polybench,syr2k,hip,4096,syr2k,10,10.6014,10.5895,10.6215,0.0115
20260317-075319-odyssey,polybench,syrk,hip,64,syrk,10,0.0503,0.0494,0.0540,0.0014
20260317-075319-odyssey,polybench,syrk,hip,128,syrk,10,0.0496,0.0491,0.0510,0.0006
20260317-075319-odyssey,polybench,syrk,hip,192,syrk,10,0.0501,0.0494,0.0531,0.0011
20260317-075319-odyssey,polybench,syrk,hip,256,syrk,10,0.0755,0.0752,0.0762,0.0003
20260317-075319-odyssey,polybench,syrk,hip,384,syrk,10,0.1142,0.1136,0.1146,0.0003
20260317-075319-odyssey,polybench,syrk,hip,512,syrk,10,0.1898,0.1889,0.1911,0.0007
20260317-075319-odyssey,polybench,syrk,hip,640,syrk,10,0.1914,0.1902,0.1931,0.0010
20260317-075319-odyssey,polybench,syrk,hip,768,syrk,10,0.2828,0.2820,0.2837,0.0005
20260317-075319-odyssey,polybench,syrk,hip,896,syrk,10,0.3393,0.3336,0.3564,0.0089
20260317-075319-odyssey,polybench,syrk,hip,1024,syrk,10,0.3958,0.3944,0.3976,0.0011
20260317-075319-odyssey,polybench,syrk,hip,1280,syrk,10,0.5756,0.5741,0.5769,0.0009
20260317-075319-odyssey,polybench,syrk,hip,1536,syrk,10,0.8482,0.8464,0.8501,0.0011
